City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Ust-Koksa,50.2696,85.6108,34.83,light rain,61,100,2.89,RU
80,Hervey Bay,-25.2986,152.8535,67.03,overcast clouds,66,100,13.69,AU
81,Luderitz,-26.6481,15.1594,58.57,clear sky,73,0,25.41,NA
82,Mantua,45.1667,10.7833,69.28,overcast clouds,85,100,1.01,IT
83,Vikindu,-7.0067,39.2985,74.84,clear sky,83,1,5.75,TZ
84,Tiksi,71.6872,128.8694,32.18,light snow,97,100,4.61,RU
85,Saint George,37.1041,-113.5841,87.64,clear sky,37,1,3.0,US
86,Charters Towers,-20.1,146.2667,62.71,clear sky,91,4,8.95,AU
87,Opuwo,-18.0607,13.84,70.27,scattered clouds,40,45,13.42,NA
88,Yambio,4.5721,28.3955,70.0,light rain,89,98,2.82,SS
89,Longyan,25.1072,117.0225,70.07,light rain,85,1,1.21,CN
90,Lata,40.1629,-8.3327,71.04,overcast clouds,92,94,3.62,PT
91,Lagoa,39.05,-27.9833,68.25,broken clouds,76,83,17.58,PT
92,Jalu,29.0331,21.5482,78.78,clear sky,28,1,8.48,LY
93,Antalaha,-14.9003,50.2788,69.57,clear sky,86,8,8.03,MG
94,Ballina,-28.8667,153.5667,53.56,overcast clouds,94,90,1.14,AU
95,Cherskiy,68.75,161.3,22.44,light snow,95,100,14.45,RU
96,Nikolskoye,59.7035,30.7861,48.09,clear sky,97,0,3.76,RU
97,Saint-Philippe,-21.3585,55.7679,71.19,scattered clouds,83,40,14.12,RE
98,Chilliwack,49.1747,-121.9443,63.12,broken clouds,89,72,1.14,CA
99,Havre-Saint-Pierre,50.2334,-63.5986,57.56,clear sky,77,1,19.57,CA
100,Kutum,14.2,24.6667,80.35,overcast clouds,43,100,10.18,SD
101,Dikson,73.5069,80.5464,35.55,few clouds,86,21,19.82,RU
102,Natal,-5.795,-35.2094,84.42,broken clouds,70,75,23.02,BR
103,Port Blair,11.6667,92.75,79.3,overcast clouds,87,100,7.92,IN
104,Warrington,53.3925,-2.5802,56.79,scattered clouds,72,40,1.99,GB
105,Hare Bay,48.8499,-54.0148,70.95,overcast clouds,85,97,9.04,CA
106,Kolo,52.2002,18.6387,60.24,overcast clouds,62,100,12.75,PL
107,Ribeira Grande,38.5167,-28.7,72.0,broken clouds,73,75,13.8,PT
108,Half Moon Bay,37.4636,-122.4286,75.6,mist,79,90,1.01,US
109,Vestmannaeyjar,63.4427,-20.2734,43.79,few clouds,61,20,20.71,IS
110,Hobart,-42.8794,147.3294,46.26,broken clouds,84,75,1.99,AU
111,San Juan,-31.5375,-68.5364,72.52,clear sky,21,0,13.96,AR
112,Vila Franca Do Campo,37.7167,-25.4333,72.01,few clouds,84,15,6.33,PT
113,Atuona,-9.8,-139.0333,77.83,scattered clouds,74,35,19.33,PF
114,Pyu,18.4833,96.4333,73.6,light rain,98,100,2.66,MM
115,Hithadhoo,-0.6,73.0833,82.58,light rain,75,100,12.93,MV
116,Asfi,32.2994,-9.2372,70.14,few clouds,77,11,16.75,MA
